admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
113.5,0,0,0,1,0,1,24,0,12.4,0.5,1.79,Graduate
121.3,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Enrolled
121.8,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Enrolled
159.3,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
120,0,0,0,1,0,0,27,0,9.4,-0.8,-3.12,Dropout
129.1,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
130,0,0,0,1,0,0,39,0,12.4,0.5,1.79,Dropout
155.3,1,0,0,1,0,0,27,0,12.4,0.5,1.79,Dropout
139.8,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
115.2,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Enrolled
114.9,0,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
131.9,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate
126,1,0,0,1,1,1,19,0,10.8,1.4,1.74,Enrolled
130.2,1,0,0,1,1,0,19,0,10.8,1.4,1.74,Enrolled
120.9,0,0,0,1,1,0,24,0,12.7,3.7,-1.7,Enrolled
126,1,0,0,1,1,0,29,0,13.9,-0.3,0.79,Dropout
128.2,1,0,0,1,1,1,19,0,10.8,1.4,1.74,Graduate
130,1,0,0,1,1,0,23,0,8.9,1.4,3.51,Graduate
120.1,0,0,1,1,1,0,19,0,16.2,0.3,-0.92,Dropout
100,0,0,0,1,1,0,26,0,12.7,3.7,-1.7,Enrolled
134,0,0,0,1,1,0,18,0,7.6,2.6,0.32,Enrolled
130.8,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,Graduate
135.8,1,0,0,1,1,0,19,0,15.5,2.8,-4.06,Dropout
111.7,1,0,0,1,1,0,18,0,12.4,0.5,1.79,Dropout
132.9,1,0,0,1,1,0,18,0,10.8,1.4,1.74,Graduate
115.5,1,0,1,1,1,0,18,0,10.8,1.4,1.74,Dropout
106,1,0,0,1,1,1,21,0,9.4,-0.8,-3.12,Dropout
120.3,1,0,1,1,1,1,19,0,8.9,1.4,3.51,Graduate
130.8,0,0,0,1,1,1,22,0,16.2,0.3,-0.92,Graduate
117,0,0,0,1,1,0,33,0,10.8,1.4,1.74,Graduate
110.2,1,0,0,1,1,0,20,0,10.8,1.4,1.74,Dropout
155.7,1,0,0,1,1,0,35,0,10.8,1.4,1.74,Dropout
180.4,0,0,1,1,1,0,24,0,12.4,0.5,1.79,Dropout
125.5,0,0,0,1,1,0,18,0,12.7,3.7,-1.7,Enrolled
110,1,0,0,1,0,0,33,0,9.4,-0.8,-3.12,Graduate
161,1,0,0,1,0,1,22,0,10.8,1.4,1.74,Graduate
100,0,0,0,1,0,1,25,0,9.4,-0.8,-3.12,Graduate
117.6,1,0,0,1,1,0,20,0,7.6,2.6,0.32,Graduate
128.7,1,0,0,1,1,0,23,0,11.1,0.6,2.02,Enrolled
112.2,1,0,1,1,1,0,18,0,15.5,2.8,-4.06,Enrolled
100.8,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,Dropout
105,1,0,0,0,0,0,21,1,8.9,1.4,3.51,Graduate
100,0,0,0,1,0,0,26,1,8.9,1.4,3.51,Dropout
115.5,0,0,0,1,0,0,39,0,7.6,2.6,0.32,Dropout
114,0,0,0,1,0,0,44,0,12.7,3.7,-1.7,Graduate
137,1,0,0,1,1,0,19,1,13.9,-0.3,0.79,Enrolled
124.9,1,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate
120.3,1,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
134.3,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,Enrolled
111.5,1,0,1,0,0,0,19,0,13.9,-0.3,0.79,Dropout
128.8,0,0,0,1,0,0,21,0,8.9,1.4,3.51,Dropout
110,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
113.5,1,0,0,1,0,0,36,0,9.4,-0.8,-3.12,Dropout
160,0,0,0,1,0,0,43,0,15.5,2.8,-4.06,Graduate
117.4,1,0,0,1,0,0,19,0,11.1,0.6,2.02,Dropout
122.2,0,0,1,1,0,0,20,0,11.1,0.6,2.02,Graduate
118.2,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,Dropout
106.7,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,Dropout
108.2,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Dropout
107,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Enrolled
136.1,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
115.3,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Enrolled
139.8,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
157,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
131,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Dropout
100,0,0,0,1,0,0,20,0,13.9,-0.3,0.79,Enrolled
140.4,1,0,0,1,0,1,20,0,7.6,2.6,0.32,Enrolled
113.4,0,0,0,1,0,0,20,0,12.4,0.5,1.79,Enrolled
137,0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
121.8,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
131,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Dropout
118.6,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,Graduate
122.3,0,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout
127.9,0,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
121.3,1,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
117.1,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Dropout
160,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
145.3,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Enrolled
122.6,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
128,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Graduate
124.9,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,Dropout
123.7,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
120.1,1,0,0,1,0,0,19,0,8.9,1.4,3.51,Graduate
131.7,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Dropout
133.2,0,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
109.3,0,0,1,0,0,1,19,0,12.4,0.5,1.79,Dropout
113,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
157.9,0,0,1,1,0,1,18,0,8.9,1.4,3.51,Graduate
112.1,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Enrolled
174.7,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
128.8,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
110.1,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
99.7,1,0,1,0,0,0,22,0,8.9,1.4,3.51,Enrolled
121,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
131.7,1,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
119.1,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,Graduate
124.7,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout
117.2,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Dropout
128.8,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
131.5,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
121.7,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
123.4,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
124.7,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
132.8,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
108.7,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Dropout
138.1,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Dropout
126.5,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
127.4,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
123.6,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Graduate
122,0,0,0,1,0,1,24,0,11.1,0.6,2.02,Graduate
118.2,0,0,0,1,0,0,19,0,10.8,1.4,1.74,Dropout
123.9,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
125.8,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Graduate
123.3,1,0,0,1,0,0,21,0,10.8,1.4,1.74,Dropout
124.4,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
126,0,0,0,1,0,1,19,0,15.5,2.8,-4.06,Graduate
170,0,0,1,1,0,0,47,0,8.9,1.4,3.51,Enrolled
121.5,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
130,0,0,0,1,0,0,29,0,12.7,3.7,-1.7,Graduate
117,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,Dropout
130,1,0,0,1,0,0,28,0,12.7,3.7,-1.7,Enrolled
108,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,Graduate
132.3,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
148,0,0,0,1,0,0,26,0,9.4,-0.8,-3.12,Graduate
122.6,1,0,1,0,0,0,20,0,11.1,0.6,2.02,Dropout
123,1,0,0,1,0,1,18,0,7.6,2.6,0.32,Enrolled
102.5,0,0,0,1,0,0,27,0,7.6,2.6,0.32,Graduate
113.3,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Dropout
133,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Dropout
140,0,0,0,1,0,0,33,0,16.2,0.3,-0.92,Dropout
128.3,1,0,0,1,0,0,35,0,12.4,0.5,1.79,Graduate
140,0,0,0,1,0,1,26,0,9.4,-0.8,-3.12,Enrolled
104,0,0,1,0,0,0,27,0,11.1,0.6,2.02,Dropout
122.3,1,0,0,0,0,0,19,0,15.5,2.8,-4.06,Dropout
135,0,0,0,1,0,0,20,0,11.1,0.6,2.02,Dropout
119.1,1,0,1,0,0,0,20,0,10.8,1.4,1.74,Dropout
126.6,0,0,1,0,0,0,21,0,9.4,-0.8,-3.12,Enrolled
129,1,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate
162.3,1,0,0,1,0,0,24,0,8.9,1.4,3.51,Dropout
163.4,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
121.5,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate
122.8,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,Enrolled
118,1,0,0,1,0,0,24,0,7.6,2.6,0.32,Dropout
134,0,0,0,1,0,0,21,0,12.4,0.5,1.79,Dropout
129.8,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
152,1,0,0,1,0,0,27,0,8.9,1.4,3.51,Dropout
122.8,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
150,0,0,0,1,0,0,35,0,13.9,-0.3,0.79,Dropout
131.8,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
105.9,0,0,0,1,0,0,35,0,11.1,0.6,2.02,Enrolled
132.1,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Graduate
127.4,1,0,0,1,0,0,20,0,7.6,2.6,0.32,Graduate
129.5,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
126.7,0,0,1,1,0,0,21,0,13.9,-0.3,0.79,Graduate
116.5,0,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
119.1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
126.5,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
149.8,1,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
115.1,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
124.5,0,0,0,1,0,1,36,0,16.2,0.3,-0.92,Dropout
128.3,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
136,0,0,0,1,0,1,18,0,7.6,2.6,0.32,Graduate
140,1,0,0,1,0,1,20,0,13.9,-0.3,0.79,Graduate
126.3,0,0,0,1,0,1,26,0,16.2,0.3,-0.92,Dropout
126.9,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
145,0,0,0,1,0,0,25,0,15.5,2.8,-4.06,Enrolled
115.8,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
100,1,0,0,1,0,0,24,0,9.4,-0.8,-3.12,Dropout
102.5,0,0,0,1,0,1,27,0,8.9,1.4,3.51,Dropout
131.5,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Dropout
147,0,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
122.5,0,1,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
117.5,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Dropout
150,0,0,0,1,0,1,19,0,11.1,0.6,2.02,Graduate
127.5,1,0,0,1,0,1,19,0,16.2,0.3,-0.92,Graduate
140,0,0,0,1,0,0,33,0,11.1,0.6,2.02,Graduate
130,0,0,0,1,0,0,45,0,12.4,0.5,1.79,Graduate
133.3,0,0,0,1,0,1,20,0,11.1,0.6,2.02,Graduate
97,1,0,0,1,0,0,28,0,7.6,2.6,0.32,Dropout
112,1,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
123.6,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
130.5,0,0,0,1,0,0,38,0,15.5,2.8,-4.06,Dropout
133.3,0,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Graduate
132.1,0,0,0,1,0,1,21,0,15.5,2.8,-4.06,Graduate
100,0,0,0,1,0,0,21,0,16.2,0.3,-0.92,Dropout
140.4,0,0,0,1,0,1,22,0,10.8,1.4,1.74,Graduate
141.7,0,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
119.7,0,1,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
122.5,1,0,0,0,0,0,25,0,9.4,-0.8,-3.12,Dropout
140,0,0,1,0,0,0,24,0,16.2,0.3,-0.92,Dropout
119.4,1,0,0,1,0,0,19,0,12.4,0.5,1.79,Enrolled
155,1,0,0,1,0,0,24,0,12.4,0.5,1.79,Enrolled
119.1,1,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
122.7,0,0,0,0,0,0,25,0,10.8,1.4,1.74,Dropout
117.9,0,0,0,1,0,1,20,0,8.9,1.4,3.51,Graduate
130,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,Graduate
120,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
130,0,0,1,0,0,0,29,0,13.9,-0.3,0.79,Dropout
116.8,1,0,0,1,0,0,21,0,11.1,0.6,2.02,Graduate
123.4,1,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
125.4,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Enrolled
127.2,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Dropout
103.4,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
123.2,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
124.1,0,0,0,1,0,0,18,0,8.9,1.4,3.51,Graduate
99.5,1,0,1,0,0,1,37,0,8.9,1.4,3.51,Dropout
124.9,0,0,0,1,0,0,29,0,16.2,0.3,-0.92,Graduate
110.8,0,0,0,1,0,0,18,0,7.6,2.6,0.32,Enrolled
118.9,1,0,0,1,0,1,19,0,12.4,0.5,1.79,Graduate
118.8,1,0,1,0,0,0,22,0,16.2,0.3,-0.92,Dropout
137,0,0,0,1,0,1,20,0,15.5,2.8,-4.06,Graduate
100,0,0,0,1,0,0,34,0,12.7,3.7,-1.7,Dropout
120,0,0,1,0,0,0,30,0,7.6,2.6,0.32,Dropout
122.8,0,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
121.6,0,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
149.2,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
140,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Graduate
133.4,1,0,0,1,0,1,19,0,12.7,3.7,-1.7,Graduate
126.2,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
127.8,0,0,0,1,0,1,18,0,12.7,3.7,-1.7,Graduate
150,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,Graduate
113.7,1,0,0,0,0,0,20,0,7.6,2.6,0.32,Dropout
117.8,1,0,0,1,0,0,20,0,13.9,-0.3,0.79,Graduate
136.7,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
144.7,0,0,0,1,0,0,20,0,16.2,0.3,-0.92,Graduate
139.8,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,Graduate
113.7,0,0,0,1,0,0,20,0,12.7,3.7,-1.7,Dropout
140,0,0,1,0,0,0,29,0,7.6,2.6,0.32,Dropout
142.3,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Enrolled
119.6,1,0,0,1,0,1,20,0,15.5,2.8,-4.06,Graduate
123.7,1,0,0,1,0,1,22,0,16.2,0.3,-0.92,Graduate
143,1,0,0,1,0,1,47,0,16.2,0.3,-0.92,Graduate
100.1,0,0,0,1,0,0,31,0,8.9,1.4,3.51,Graduate
119.4,0,0,0,1,0,1,21,0,16.2,0.3,-0.92,Graduate
122.1,0,0,0,1,0,0,21,0,7.6,2.6,0.32,Graduate
100,0,0,0,1,0,0,24,0,7.6,2.6,0.32,Graduate
113.9,0,0,0,1,0,0,18,0,15.5,2.8,-4.06,Enrolled
101,0,0,0,1,0,0,32,0,7.6,2.6,0.32,Graduate
111.8,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
140,1,0,0,1,0,0,24,0,9.4,-0.8,-3.12,Graduate
124.4,1,0,0,1,0,0,19,0,15.5,2.8,-4.06,Graduate
150,0,0,1,1,0,1,19,0,13.9,-0.3,0.79,Graduate
140,0,0,0,1,0,0,24,0,12.4,0.5,1.79,Enrolled
116,1,0,0,1,0,1,18,0,8.9,1.4,3.51,Graduate
135.6,1,0,0,1,0,1,19,0,8.9,1.4,3.51,Dropout
121,0,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
118.7,1,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
125.7,1,0,0,1,0,0,18,0,12.4,0.5,1.79,Graduate
107.1,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
125.5,0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
127,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
113.5,1,0,0,1,0,1,21,0,10.8,1.4,1.74,Graduate
154.4,0,0,0,1,0,1,18,0,15.5,2.8,-4.06,Graduate
122,0,0,1,0,0,0,18,0,9.4,-0.8,-3.12,Dropout
128,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Dropout
115.5,1,0,0,1,0,0,19,0,10.8,1.4,1.74,Enrolled
117.2,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
150,1,0,0,1,0,0,34,0,12.7,3.7,-1.7,Dropout
155.3,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
120,1,0,1,0,0,0,19,0,12.4,0.5,1.79,Dropout
116.1,0,0,1,1,0,0,26,0,11.1,0.6,2.02,Graduate
118.9,1,0,0,1,0,0,21,0,7.6,2.6,0.32,Dropout
127.3,0,0,0,1,0,1,18,0,11.1,0.6,2.02,Graduate
113.7,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,Graduate
118.5,0,0,0,1,0,0,25,0,11.1,0.6,2.02,Dropout
146.7,0,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
124.3,1,0,0,1,0,1,18,0,16.2,0.3,-0.92,Graduate
137.8,0,0,0,1,0,0,19,0,11.1,0.6,2.02,Graduate
130.2,0,0,0,1,0,1,18,0,12.4,0.5,1.79,Graduate
147.8,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,Enrolled
150,0,0,1,0,0,0,26,0,8.9,1.4,3.51,Dropout
100,1,0,0,1,0,1,19,0,10.8,1.4,1.74,Graduate
155.6,0,0,0,1,0,0,19,0,16.2,0.3,-0.92,Graduate
117.4,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
128.8,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Enrolled
117.5,1,0,0,1,0,0,18,0,16.2,0.3,-0.92,Graduate
120.4,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Graduate
130.9,0,0,1,1,0,0,18,0,13.9,-0.3,0.79,Graduate
125,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
136.8,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Enrolled
121.6,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Enrolled
151,0,0,1,1,0,0,26,0,16.2,0.3,-0.92,Dropout
103.5,1,0,0,1,0,0,20,0,12.4,0.5,1.79,Graduate
119.4,0,0,0,1,0,0,19,0,12.7,3.7,-1.7,Graduate
134.4,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
143,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
110,0,0,1,1,0,0,40,0,12.4,0.5,1.79,Graduate
132.5,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,Graduate
114.7,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,Graduate
166.9,0,0,0,1,0,0,18,0,7.6,2.6,0.32,Graduate
125.9,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,Enrolled
178.3,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,Dropout
117,1,0,0,1,0,0,33,0,12.4,0.5,1.79,Graduate
150,0,0,0,1,0,0,35,0,16.2,0.3,-0.92,Graduate
130,1,0,0,1,0,0,26,0,9.4,-0.8,-3.12,Enrolled
135.1,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,Graduate
110,0,0,0,1,0,0,36,0,15.5,2.8,-4.06,Enrolled
136.2,0,0,0,1,0,0,39,0,10.8,1.4,1.74,Graduate
116,0,0,0,1,0,0,44,0,12.7,3.7,-1.7,Graduate
100,0,0,0,1,0,0,20,0,9.4,-0.8,-3.12,Enrolled
116.3,1,0,0,1,0,0,24,0,12.7,3.7,-1.7,Dropout
134,0,0,0,1,0,1,20,0,12.4,0.5,1.79,Graduate
124.2,1,0,0,0,0,0,19,0,9.4,-0.8,-3.12,Dropout
134.5,0,0,1,1,0,1,18,0,7.6,2.6,0.32,Graduate
120.7,0,0,1,0,0,0,22,0,10.8,1.4,1.74,Dropout
127.1,1,0,0,1,0,0,18,0,11.1,0.6,2.02,Graduate
133,0,0,0,1,0,0,24,0,13.9,-0.3,0.79,Graduate
128.2,0,0,0,1,0,0,33,0,12.7,3.7,-1.7,Dropout
130,0,0,1,1,0,1,30,0,11.1,0.6,2.02,Enrolled
172,0,0,0,1,0,0,26,0,8.9,1.4,3.51,Dropout
128.5,1,0,0,1,0,0,18,0,10.8,1.4,1.74,Graduate
128.5,0,0,1,1,0,0,19,0,10.8,1.4,1.74,Dropout
112,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,Enrolled
142.5,1,0,0,1,0,1,22,0,8.9,1.4,3.51,Graduate
133,1,0,0,1,0,0,19,0,7.6,2.6,0.32,Enrolled
106,1,0,0,1,0,1,21,0,15.5,2.8,-4.06,Graduate
125.5,1,0,0,1,0,1,21,0,7.6,2.6,0.32,Graduate
131.2,0,0,0,1,0,0,19,0,7.6,2.6,0.32,Enrolled
112.9,1,0,0,1,0,1,19,0,8.9,1.4,3.51,Graduate
124.8,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,Dropout
140.9,0,0,0,1,0,0,50,0,16.2,0.3,-0.92,Graduate
148,0,0,0,1,0,1,31,0,13.9,-0.3,0.79,Enrolled
